OD600,RMV8,RMV8,RMV8,RMV8,RMV8_1MMC,RMV8_1MMC,RMV8_1MMC,RMV8_1MMC,RMV8_2MMC,RMV8_2MMC,RMV8_2MMC,RMV8_2MMC,RMV8_hybrid,RMV8_hybrid,RMV8_hybrid,RMV8_hybrid,RMV8_hybrid_1MMC,RMV8_hybrid_1MMC,RMV8_hybrid_1MMC,RMV8_hybrid_1MMC,RMV8_hybrid_2MMC,RMV8_hybrid_2MMC,RMV8_hybrid_2MMC,RMV8_hybrid_2MMC
04:30:00,0.575,0.613,0.622,0.612,0.477,0.489,0.491,0.489,0.435,0.441,0.419,0.429,0.59,0.61,0.632,0.627,0.572,0.586,0.572,0.581,0.526,0.541,0.54,0.497
05:00:00,0.581,0.607,0.621,0.61,0.463,0.485,0.467,0.487,0.43,0.421,0.415,0.422,0.597,0.609,0.629,0.621,0.565,0.577,0.565,0.577,0.521,0.535,0.532,0.517
05:30:00,0.583,0.604,0.617,0.601,0.459,0.473,0.473,0.477,0.427,0.415,0.405,0.408,0.599,0.607,0.627,0.616,0.559,0.575,0.559,0.572,0.514,0.532,0.518,0.523
06:00:00,0.577,0.601,0.608,0.601,0.446,0.456,0.456,0.476,0.407,0.407,0.393,0.393,0.607,0.603,0.626,0.617,0.554,0.568,0.554,0.568,0.504,0.52,0.499,0.525
06:30:00,0.576,0.598,0.608,0.596,0.437,0.45,0.448,0.461,0.406,0.398,0.391,0.392,0.606,0.597,0.624,0.613,0.544,0.56,0.544,0.559,0.497,0.513,0.494,0.521
07:00:00,0.573,0.593,0.606,0.594,0.428,0.45,0.44,0.464,0.4,0.39,0.379,0.389,0.604,0.592,0.624,0.612,0.538,0.555,0.538,0.554,0.487,0.504,0.485,0.522
07:30:00,0.578,0.587,0.6,0.59,0.418,0.438,0.436,0.448,0.392,0.389,0.375,0.369,0.592,0.589,0.621,0.609,0.531,0.547,0.53,0.546,0.478,0.497,0.473,0.504
08:00:00,0.563,0.586,0.597,0.586,0.412,0.43,0.426,0.448,0.388,0.373,0.365,0.369,0.599,0.586,0.621,0.608,0.525,0.537,0.521,0.54,0.468,0.486,0.462,0.503
08:30:00,0.563,0.579,0.595,0.579,0.403,0.423,0.418,0.441,0.38,0.367,0.354,0.365,0.609,0.584,0.619,0.604,0.516,0.533,0.514,0.533,0.46,0.482,0.452,0.504
09:00:00,0.559,0.575,0.591,0.577,0.396,0.412,0.409,0.446,0.368,0.353,0.347,0.354,0.602,0.581,0.618,0.601,0.508,0.522,0.505,0.524,0.45,0.469,0.441,0.498
09:30:00,0.558,0.57,0.586,0.571,0.384,0.402,0.405,0.436,0.36,0.35,0.343,0.352,0.599,0.575,0.616,0.601,0.497,0.511,0.494,0.515,0.44,0.459,0.428,0.494
10:00:00,0.561,0.564,0.582,0.566,0.376,0.393,0.397,0.431,0.347,0.34,0.332,0.341,0.599,0.574,0.615,0.596,0.488,0.502,0.486,0.508,0.432,0.452,0.42,0.503
10:30:00,0.549,0.557,0.574,0.557,0.364,0.387,0.39,0.425,0.342,0.329,0.327,0.333,0.605,0.573,0.614,0.597,0.479,0.492,0.475,0.495,0.421,0.442,0.409,0.492
11:00:00,0.553,0.549,0.565,0.55,0.36,0.378,0.384,0.414,0.329,0.323,0.319,0.325,0.59,0.568,0.61,0.589,0.466,0.479,0.464,0.485,0.409,0.432,0.398,0.49
11:30:00,0.537,0.543,0.559,0.543,0.355,0.365,0.375,0.4,0.323,0.317,0.307,0.316,0.599,0.564,0.608,0.588,0.453,0.466,0.452,0.474,0.4,0.422,0.39,0.479
12:00:00,0.539,0.536,0.551,0.533,0.345,0.363,0.362,0.391,0.314,0.308,0.301,0.307,0.584,0.559,0.603,0.584,0.441,0.451,0.437,0.461,0.388,0.412,0.383,0.482
12:30:00,0.534,0.523,0.539,0.522,0.334,0.353,0.358,0.38,0.308,0.296,0.293,0.297,0.59,0.557,0.597,0.58,0.426,0.438,0.424,0.449,0.378,0.401,0.374,0.471
13:00:00,0.515,0.513,0.527,0.512,0.316,0.342,0.348,0.37,0.301,0.286,0.282,0.286,0.583,0.553,0.593,0.576,0.413,0.424,0.41,0.435,0.367,0.39,0.366,0.453
13:30:00,0.519,0.503,0.517,0.502,0.315,0.331,0.339,0.356,0.288,0.279,0.275,0.281,0.574,0.544,0.585,0.57,0.4,0.409,0.398,0.423,0.356,0.379,0.357,0.458
14:00:00,0.492,0.49,0.505,0.484,0.305,0.322,0.327,0.346,0.276,0.272,0.267,0.271,0.583,0.54,0.581,0.564,0.387,0.397,0.385,0.409,0.345,0.369,0.347,0.451
14:30:00,0.478,0.48,0.491,0.474,0.295,0.313,0.319,0.335,0.271,0.261,0.257,0.26,0.569,0.534,0.575,0.558,0.374,0.385,0.371,0.395,0.337,0.36,0.34,0.442
15:00:00,0.476,0.465,0.477,0.462,0.284,0.302,0.308,0.325,0.263,0.256,0.248,0.247,0.563,0.529,0.566,0.549,0.362,0.371,0.358,0.383,0.327,0.351,0.33,0.437
15:30:00,0.467,0.455,0.465,0.448,0.279,0.294,0.299,0.313,0.256,0.248,0.242,0.241,0.573,0.523,0.558,0.542,0.351,0.359,0.347,0.371,0.317,0.34,0.318,0.425
16:00:00,0.449,0.44,0.448,0.436,0.269,0.282,0.293,0.307,0.248,0.24,0.237,0.239,0.567,0.513,0.547,0.535,0.34,0.347,0.335,0.359,0.307,0.331,0.311,0.422
16:30:00,0.421,0.428,0.433,0.424,0.263,0.279,0.28,0.298,0.24,0.237,0.228,0.232,0.552,0.504,0.538,0.522,0.332,0.337,0.326,0.35,0.298,0.32,0.301,0.404
17:00:00,0.386,0.413,0.42,0.407,0.256,0.273,0.278,0.291,0.235,0.232,0.223,0.229,0.547,0.496,0.525,0.511,0.321,0.328,0.316,0.34,0.29,0.313,0.295,0.38
17:30:00,0.391,0.398,0.406,0.391,0.249,0.268,0.269,0.281,0.229,0.22,0.219,0.219,0.54,0.485,0.514,0.499,0.312,0.318,0.305,0.328,0.283,0.303,0.287,0.398
18:00:00,0.373,0.384,0.392,0.379,0.246,0.263,0.268,0.269,0.223,0.222,0.219,0.222,0.526,0.479,0.499,0.488,0.305,0.311,0.299,0.323,0.278,0.297,0.28,0.386
18:30:00,0.361,0.369,0.377,0.363,0.239,0.25,0.261,0.276,0.216,0.217,0.21,0.214,0.521,0.462,0.48,0.466,0.292,0.3,0.288,0.311,0.269,0.288,0.267,0.361
19:00:00,0.347,0.357,0.367,0.356,0.238,0.252,0.252,0.276,0.219,0.207,0.212,0.217,0.502,0.447,0.464,0.452,0.288,0.293,0.282,0.304,0.267,0.281,0.264,0.35
19:30:00,0.329,0.342,0.354,0.343,0.231,0.245,0.253,0.274,0.217,0.221,0.215,0.217,0.49,0.432,0.446,0.431,0.279,0.286,0.274,0.296,0.261,0.275,0.259,0.358
20:00:00,0.322,0.33,0.343,0.332,0.226,0.237,0.248,0.267,0.211,0.219,0.211,0.209,0.478,0.415,0.427,0.411,0.274,0.28,0.269,0.289,0.256,0.268,0.251,0.345
20:30:00,0.315,0.321,0.331,0.324,0.225,0.239,0.246,0.269,0.212,0.214,0.209,0.205,0.464,0.4,0.412,0.395,0.267,0.275,0.264,0.282,0.251,0.262,0.248,0.333
21:00:00,0.301,0.32,0.32,0.316,0.222,0.234,0.243,0.271,0.206,0.208,0.199,0.208,0.446,0.383,0.396,0.38,0.26,0.269,0.259,0.276,0.248,0.258,0.243,0.319
