OD600,Col4,Col4,Col4,Col4,Col4,Col4,Col4_repcat,Col4_repcat,Col4_repcat,Col4_intcat,Col4_intcat,Col4_intcat,Col4_phageKO,Col4_phageKO,Col4_phageKO,Col4_lytAcat,Col4_lytAcat,Col4_lytAcat
12:00:00,0.517,0.524,0.548,0.514,0.551,0.529,0.623,0.606,0.62,0.554,0.554,0.569,0.643,0.673,0.687,0.599,0.596,0.608
12:30:00,0.51,0.514,0.543,0.512,0.548,0.527,0.634,0.609,0.616,0.552,0.549,0.568,0.652,0.672,0.684,0.601,0.597,0.603
13:00:00,0.5,0.503,0.53,0.512,0.548,0.527,0.627,0.6,0.615,0.543,0.541,0.558,0.647,0.67,0.684,0.598,0.597,0.599
13:30:00,0.49,0.495,0.516,0.509,0.545,0.52,0.626,0.6,0.613,0.541,0.534,0.554,0.648,0.673,0.684,0.595,0.584,0.598
14:00:00,0.489,0.49,0.515,0.506,0.542,0.515,0.63,0.601,0.616,0.535,0.531,0.549,0.644,0.676,0.685,0.59,0.588,0.592
14:30:00,0.484,0.487,0.509,0.499,0.538,0.509,0.63,0.592,0.611,0.533,0.52,0.539,0.65,0.677,0.683,0.594,0.585,0.59
15:00:00,0.483,0.481,0.5,0.49,0.532,0.501,0.621,0.591,0.61,0.52,0.515,0.533,0.651,0.682,0.684,0.592,0.589,0.594
15:30:00,0.48,0.479,0.5,0.482,0.521,0.492,0.621,0.59,0.607,0.516,0.512,0.53,0.653,0.675,0.681,0.582,0.584,0.601
16:00:00,0.475,0.47,0.49,0.473,0.512,0.482,0.62,0.593,0.612,0.508,0.498,0.522,0.647,0.673,0.682,0.589,0.579,0.596
16:30:00,0.476,0.467,0.493,0.466,0.508,0.473,0.624,0.595,0.604,0.502,0.495,0.517,0.648,0.675,0.684,0.585,0.574,0.598
17:00:00,0.471,0.469,0.487,0.458,0.498,0.464,0.619,0.586,0.602,0.488,0.488,0.506,0.654,0.673,0.681,0.581,0.574,0.594
17:30:00,0.469,0.462,0.48,0.452,0.496,0.462,0.614,0.574,0.607,0.485,0.479,0.501,0.653,0.673,0.683,0.583,0.57,0.591
18:00:00,0.466,0.461,0.482,0.446,0.49,0.454,0.615,0.589,0.605,0.479,0.481,0.494,0.654,0.67,0.68,0.569,0.569,0.591
18:30:00,0.466,0.449,0.476,0.441,0.486,0.451,0.614,0.574,0.601,0.475,0.472,0.488,0.649,0.668,0.683,0.58,0.568,0.591
19:00:00,0.461,0.446,0.469,0.431,0.477,0.44,0.613,0.579,0.599,0.456,0.467,0.481,0.661,0.672,0.681,0.575,0.563,0.583
19:30:00,0.457,0.433,0.458,0.423,0.468,0.436,0.605,0.578,0.602,0.463,0.457,0.471,0.657,0.672,0.679,0.567,0.557,0.585
20:00:00,0.45,0.42,0.457,0.415,0.46,0.427,0.604,0.573,0.593,0.453,0.45,0.465,0.659,0.668,0.676,0.562,0.553,0.575
20:30:00,0.444,0.415,0.452,0.406,0.454,0.417,0.601,0.579,0.594,0.448,0.448,0.458,0.667,0.668,0.679,0.561,0.553,0.575
